program	description	title	author	source_url
demo.txt	demo.md	Treasure Cave Demo	Serge Anvarov	https://sergeanvarov.github.io/russian/mk61/uf/demo.html
game-100-pig.txt	game-100-pig.md	Игра 100 (свинья) вдвоём с ПМК		https://sergeanvarov.github.io/russian/mk61/games/100/100.html
treasure-hunter-2.txt	treasure-hunter-2.md	Кладоискатель-2		https://sergeanvarov.github.io/russian/mk61/games/%D0%BA%D0%BB%D0%B0%D0%B4%D0%BE%D0%B8%D1%81%D0%BA%D0%B0%D1%82%D0%B5%D0%BB%D1%8C/%D0%9A%D0%BB%D0%B0%D0%B4%D0%BE%D0%B8%D1%81%D0%BA%D0%B0%D1%82%D0%B5%D0%BB%D1%8C-2.html
tic-tac-toe-4x4.txt	tic-tac-toe-4x4.md	Крестики-нолики 4x4		https://sergeanvarov.github.io/russian/mk61/games/%D0%BA%D1%80%D0%B5%D1%81%D1%82%D0%B8%D0%BA%D0%B8-%D0%BD%D0%BE%D0%BB%D0%B8%D0%BA%D0%B8%204x4/%D0%BA%D1%80%D0%B5%D1%81%D1%82%D0%B8%D0%BA%D0%B8-%D0%BD%D0%BE%D0%BB%D0%B8%D0%BA%D0%B8%204x4.html
coop-cafe.txt	coop-cafe.md	Кооперативное кафе		https://sergeanvarov.github.io/russian/mk61/games/%D0%BA%D0%BE%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5%20%D0%BA%D0%B0%D1%84%D0%B5/%D0%BA%D0%BE%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5%20%D0%BA%D0%B0%D1%84%D0%B5.html
coop-cafe-2.txt	coop-cafe-2.md	Кооперативное кафе 2		https://sergeanvarov.github.io/russian/mk61/games/%D0%BA%D0%BE%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5%20%D0%BA%D0%B0%D1%84%D0%B5%202/%D0%BA%D0%BE%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5%20%D0%BA%D0%B0%D1%84%D0%B5%202.html
labyrinth777.txt	labyrinth777.md	Лабиринт777		https://sergeanvarov.github.io/russian/mk61/games/%D0%BB%D0%B0%D0%B1%D0%B8%D1%80%D0%B8%D0%BD%D1%82777/%D0%BB%D0%B0%D0%B1%D0%B8%D1%80%D0%B8%D0%BD%D1%82777.html
lunolot-1.txt	lunolot-1.md	Лунолёт-1		https://sergeanvarov.github.io/russian/mk61/games/%D0%BB%D1%83%D0%BD%D0%BE%D0%BB%D1%91%D1%82-1/%D0%BB%D1%83%D0%BD%D0%BE%D0%BB%D1%91%D1%82-1.html
sea-battle.txt	sea-battle.md	Морской бой		https://sergeanvarov.github.io/russian/mk61/games/%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%B9%20%D0%B1%D0%BE%D0%B9/%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%B9%20%D0%B1%D0%BE%D0%B9.html
necromancer.txt	necromancer.md	Некромант		https://sergeanvarov.github.io/russian/mk61/games/%D0%BD%D0%B5%D0%BA%D1%80%D0%BE%D0%BC%D0%B0%D0%BD%D1%82/%D0%BD%D0%B5%D0%BA%D1%80%D0%BE%D0%BC%D0%B0%D0%BD%D1%82.html
dangerous-loading.txt	dangerous-loading.md	Опасная погрузка		https://sergeanvarov.github.io/russian/mk61/games/%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%B3%D1%80%D1%83%D0%B7%D0%BA%D0%B0/%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%B3%D1%80%D1%83%D0%B7%D0%BA%D0%B0.html
fox-hunt.txt	fox-hunt.md	Охота на лис		https://sergeanvarov.github.io/russian/mk61/games/%D0%BE%D1%85%D0%BE%D1%82%D0%B0%20%D0%BD%D0%B0%20%D0%BB%D0%B8%D1%81/%D0%BE%D1%85%D0%BE%D1%82%D0%B0%20%D0%BD%D0%B0%20%D0%BB%D0%B8%D1%81.html
