program	description	title	author	real_name	source_url	kind	section	tags	collection	series
action/afrikanskoe-safari.txt	action/afrikanskoe-safari.md	Африканское сафари	В. Кононов		А. Б. Бойко, Игры с микрокалькулятором, Математика, кибернетика, 1987, № 11	game	action			
action/alaram.txt	action/alaram.md	Alaram	Сергей Шинкевич	Евгений Кузниченко	https://lordbss.narod.ru/pmk210.html	game	action	classic	lordbss	
action/american-ninja.txt	action/american-ninja.md	American Ninja	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk100.html	game	action	classic	lordbss	
action/ataka.txt	action/ataka.md	ataka	В. Ю. Солдатов		https://lordbss.narod.ru/pmk159.html	game	action	classic;military	lordbss	
action/bomber-video.txt	action/bomber-video.md	bomber-video	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk218.html	game	action	classic	lordbss	
action/boy-v-tumane-kibernetika-1986.txt	action/boy-v-tumane-kibernetika-1986.md	Бой в тумане	коллектив авторов		Кибернетика. Микрокалькуляторы в играх и задачах, 1986, с. 116	game	action	book;classic;military	kibernetika-1986	
action/chase-h-q.txt	action/chase-h-q.md	Chase H.Q.	Константин Сергеев	Евгений Кузниченко	https://lordbss.narod.ru/pmk83.html	game	action	classic	lordbss	
action/chronos.txt	action/chronos.md	Chronos	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk137.html	game	action	classic	lordbss	
action/chuzhie.txt	action/chuzhie.md	chuzhie	Сергей Устюгов	Евгений Кузниченко	https://lordbss.narod.ru/pmk18.html	game	action	classic;horror	lordbss	
action/cowboy.txt	action/cowboy.md	Cowboy	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk37.html	game	action	classic;military;western	lordbss	
action/diversant-dolgushin-notebook.txt	action/diversant-dolgushin-notebook.md	Диверсант	Александр Долгушин		https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", Рисунок (27).jpg; Рисунок (28).jpg; Рисунок (97).jpg: указание авторства	game	action	manuscript;military	dolgushin-notebook	
action/diversant.txt	action/diversant.md	diversant	Сергей Устюгов	Евгений Кузниченко	https://lordbss.narod.ru/pmk55.html	game	action	classic;military	lordbss	
action/duel-pchely-s-ovodom-romanovsky-1989.txt	action/duel-pchely-s-ovodom-romanovsky-1989.md	Дуэль пчелы с оводом	Т. Б. Романовский		Т. Б. Романовский, Микрокалькуляторы в рассказах и играх, Киев: Радянська школа, 1989, с. 213-215	game	action	book;classic	romanovsky-1989	
action/dzheyms-bond-agent-007-2.txt	action/dzheyms-bond-agent-007-2.md	dzheyms bond - agent 007 - 2	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk82.html	game	action	classic	lordbss	
action/dzheyms-bond-agent-007.txt	action/dzheyms-bond-agent-007.md	dzheyms bond - agent 007	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk81.html	game	action	classic	lordbss	
action/f-19.txt	action/f-19.md	F-19	А. Беликов		https://lordbss.narod.ru/pmk219.html	game	action	aviation;classic	lordbss	
action/galakticheskie-piraty.txt	action/galakticheskie-piraty.md	galakticheskie piraty	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk112.html	game	action	classic;space	lordbss	
action/galakticheskiy-patrul.txt	action/galakticheskiy-patrul.md	galakticheskiy patrul	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk113.html	game	action	classic;space	lordbss	
action/gangstery.txt	action/gangstery.md	gangstery	С. И. Пономарёв		https://lordbss.narod.ru/pmk96.html	game	action	classic	lordbss	
action/hogans-alley-dolgushin-notebook.txt	action/hogans-alley-dolgushin-notebook.md	HOGAN'S ALLEY	Александр Долгушин		https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", Рисунок (59).jpg; Рисунок (60).jpg; Рисунок (97).jpg: указание авторства	game	action	manuscript	dolgushin-notebook	
action/kapral.txt	action/kapral.md	kapral	Сергей Устюгов	Евгений Кузниченко	https://lordbss.narod.ru/pmk78.html	game	action	classic	lordbss	
action/katapulta-gaishtut-1988.txt	action/katapulta-gaishtut-1988.md	Катапульта			А. Г. Гайштут, Калькулятор - твой помощник и соперник в играх, 1988, с. 189.	game	action	book;classic	gaishtut-1988	
action/kiber-ubiytsa.txt	action/kiber-ubiytsa.md	kiber-ubiytsa	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk16.html	game	action	classic	lordbss	
action/klingi-2.txt	action/klingi-2.md	klingi-2	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk42.html	game	action	classic	lordbss	klingi
action/klingi-2m2.txt	action/klingi-2m2.md	klingi-2m2	Александр Михолап	Евгений Кузниченко	https://lordbss.narod.ru/pmk43.html	game	action	classic	lordbss	klingi
action/klingi.txt	action/klingi.md	klingi	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk41.html	game	action	classic	lordbss	klingi
action/komandos-2.txt	action/komandos-2.md	komandos-2	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk90.html	game	action	classic;military	lordbss	
action/komandos.txt	action/komandos.md	komandos	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk80.html	game	action	classic;military	lordbss	
action/komissar-politsii.txt	action/komissar-politsii.md	komissar politsii	А. Щекалев		https://lordbss.narod.ru/pmk14.html	game	action	classic	lordbss	
action/kosmicheskiy-desant.txt	action/kosmicheskiy-desant.md	kosmicheskiy desant	М. Голиков		https://lordbss.narod.ru/pmk216.html	game	action	classic;military;space	lordbss	
action/kosmopol.txt	action/kosmopol.md	kosmopol	Александр Михолап	Евгений Кузниченко	https://lordbss.narod.ru/pmk07.html	game	action	classic;space	lordbss	
action/kung-fu.txt	action/kung-fu.md	Kung-Fu	Константин Сергеев	Евгений Кузниченко	https://lordbss.narod.ru/pmk120.html	game	action	classic	lordbss	
action/mafiozi.txt	action/mafiozi.md	mafiozi	А. Камоедов		https://lordbss.narod.ru/pmk04.html	game	action	classic	lordbss	
action/myatezhnik.txt	action/myatezhnik.md	myatezhnik	Сергей Шинкевич	Евгений Кузниченко	https://lordbss.narod.ru/pmk238.html	game	action	classic	lordbss	
action/navesnaya-strelba-dolgushin-notebook.txt	action/navesnaya-strelba-dolgushin-notebook.md	Навесная стрельба	автор неизвестен; редакция Александра Долгушина		https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", Рисунок (26).jpg; Рисунок (27).jpg; Рисунок (97).jpg: указание редакции	game	action	manuscript	dolgushin-notebook	
action/nindzya-terminator.txt	action/nindzya-terminator.md	nindzya-terminator	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk15.html	game	action	classic	lordbss	
action/okhota-na-dinozavrov.txt	action/okhota-na-dinozavrov.md	okhota na dinozavrov	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk184.html	game	action	classic	lordbss	
action/okhota-na-medvedya-4pda.txt	action/okhota-na-medvedya-4pda.md	Охота на медведя, доработка 4PDA	Сергей Храмов; доработка 4PDA user 9123742		https://4pda.to/forum/index.php?showuser=9123742	game	action			
action/okhota-na-medvedya-variant.txt	action/okhota-na-medvedya-variant.md	Охота на медведя			https://xvadim.github.io/xbasoft/pmk/bear_hunt.zip	game	action	variant		
action/okhota-na-medvedya.txt	action/okhota-na-medvedya.md	Охота на медведя	Сергей Храмов		PDF "Охота на медведя", 2020	game	action			
action/okhota-na-skaloeda.txt	action/okhota-na-skaloeda.md	okhota na skaloeda	М. Пухов		https://lordbss.narod.ru/pmk185.html	game	action	classic	lordbss	
action/okhota-na-sklyupikov.txt	action/okhota-na-sklyupikov.md	okhota na sklyupikov	Александр Клишин	Евгений Кузниченко	https://lordbss.narod.ru/pmk183.html	game	action	classic	lordbss	
action/opasnaya-igra.txt	action/opasnaya-igra.md	opasnaya igra	Сергей Тарасов	Евгений Кузниченко	https://lordbss.narod.ru/pmk163.html; https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", Рисунок (76).jpg; Рисунок (77).jpg	game	action	classic	lordbss	
action/peredovoy-otryad.txt	action/peredovoy-otryad.md	peredovoy otryad	П. Аронович		https://lordbss.narod.ru/pmk165.html	game	action	classic	lordbss	
action/perekhvat.txt	action/perekhvat.md	perekhvat	В. Масенков, Михаил Лялин		https://lordbss.narod.ru/pmk118.html	game	action	classic	lordbss	
